day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14039,1420,1825,8446,0,0
15,14038,1420,1825,8445,0,0
20,14038,1420,1825,8445,0,0
25,14038,1420,1825,8445,0,0
30,14037,1420,1825,8444,0,0
35,14037,1420,1825,8443,0,0
40,14035,1420,1825,8443,0,0
45,14035,1420,1825,8443,0,0
50,14032,1418,1825,8442,0,0
55,14032,1418,1825,8442,0,0
60,14031,1418,1825,8442,0,0
65,14030,1418,1825,8441,0,0
70,14030,1418,1825,8441,0,0
75,14030,1418,1825,8441,0,0
80,14030,1418,1825,8441,0,0
85,14029,1418,1825,8441,0,0
90,14029,1418,1824,8441,0,0
95,14027,1418,1824,8441,0,0
100,14026,1418,1823,8440,0,0
105,14025,1418,1823,8440,0,0
110,14025,1418,1822,8440,0,0
115,14023,1418,1822,8440,0,0
120,14021,1417,1822,8439,0,0
125,14019,1417,1822,8439,0,0
130,14016,1415,1822,8439,0,0
135,14015,1415,1822,8439,0,0
140,14012,1411,1823,8439,0,0
145,14012,1411,1823,8439,0,0
150,14009,1410,1823,8439,0,0
155,14008,1410,1823,8439,0,0
160,14008,1410,1823,8439,0,0
165,14008,1410,1822,8438,0,0
170,14005,1409,1822,8438,0,0
175,14005,1409,1822,8438,0,0
180,14004,1409,1822,8437,0,0
185,14003,1409,1822,8437,0,0
190,14002,1409,1822,8437,0,0
195,14002,1409,1822,8437,0,0
200,14000,1409,1822,8436,0,0
205,14000,1409,1822,8436,0,0
210,13992,1400,1823,8436,0,0
215,13992,1400,1823,8436,0,0
220,13990,1399,1823,8436,0,0
225,13990,1399,1823,8436,0,0
230,13990,1399,1822,8436,0,0
235,13989,1399,1822,8436,0,0
240,13988,1399,1822,8436,0,0
245,13988,1399,1821,8436,0,0
250,13988,1399,1821,8436,0,0
255,13986,1399,1821,8435,0,0
260,13980,1393,1820,8435,0,0
265,13979,1393,1820,8435,0,0
270,13979,1393,1820,8435,0,0
275,13978,1393,1820,8435,0,0
280,13976,1392,1819,8435,0,0
285,13975,1392,1819,8435,0,0
290,13974,1390,1820,8435,0,0
295,13974,1390,1820,8435,0,0
300,13974,1390,1819,8435,0,0
305,13973,1390,1818,8435,0,0
310,13972,1390,1818,8435,0,0
315,13972,1390,1816,8435,0,0
320,13970,1390,1815,8435,0,0
325,13969,1390,1814,8435,0,0
330,13963,1385,1813,8435,0,0
335,13962,1385,1813,8435,0,0
340,13959,1384,1813,8433,0,0
345,13959,1384,1813,8433,0,0
350,13958,1383,1813,8433,0,0
355,13958,1383,1809,8433,0,0
360,13952,1382,1809,8432,0,0
365,13951,1382,1809,8432,0,0
370,13951,1382,1809,8432,0,0
375,13950,1382,1809,8431,0,0
380,13946,1379,1809,8430,0,0
385,13945,1379,1809,8429,0,0
390,13945,1379,1809,8429,0,0
395,13945,1379,1808,8429,0,0
400,13944,1379,1808,8429,0,0
405,13943,1379,1808,8429,0,0
410,13935,1372,1808,8428,0,0
415,13934,1372,1808,8428,0,0
420,13933,1372,1808,8427,0,0
