day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14040,1420,1825,8447,0,0
15,14217,1420,1825,8615,1,0
20,14195,1420,1825,8602,0,0
25,14195,1420,1825,8602,0,0
30,14195,1420,1825,8602,0,0
35,14195,1420,1825,8602,0,0
40,14192,1420,1825,8600,0,0
45,14192,1420,1825,8600,0,0
50,14190,1418,1825,8600,0,0
55,14190,1418,1825,8599,0,0
60,14187,1418,1825,8598,0,0
65,14187,1418,1825,8597,0,0
70,14186,1418,1825,8597,0,0
75,14186,1418,1825,8597,0,0
80,14186,1418,1825,8597,0,0
85,14185,1418,1825,8597,0,0
90,14185,1418,1824,8597,0,0
95,14183,1418,1824,8597,0,0
100,14183,1418,1823,8597,0,0
105,14182,1418,1823,8597,0,0
110,14182,1418,1822,8597,0,0
115,14180,1418,1822,8597,0,0
120,14179,1417,1822,8597,0,0
125,14177,1417,1822,8597,0,0
130,14174,1415,1822,8597,0,0
135,14174,1415,1822,8597,0,0
140,14168,1411,1822,8595,0,0
145,14168,1411,1822,8595,0,0
150,14165,1410,1822,8595,0,0
155,14164,1410,1822,8595,0,0
160,14164,1410,1822,8595,0,0
165,14164,1410,1821,8595,0,0
170,14162,1409,1821,8595,0,0
175,14162,1409,1821,8595,0,0
180,14161,1409,1821,8595,0,0
185,14160,1409,1821,8594,0,0
190,14159,1409,1821,8594,0,0
195,14159,1409,1821,8594,0,0
200,14158,1409,1821,8594,0,0
205,14158,1409,1821,8594,0,0
210,14148,1400,1821,8593,0,0
215,14148,1400,1821,8593,0,0
220,14146,1399,1821,8593,0,0
225,14146,1399,1821,8593,0,0
230,14146,1399,1820,8593,0,0
235,14145,1399,1820,8593,0,0
240,14143,1399,1820,8592,0,0
245,14143,1399,1819,8592,0,0
250,14143,1399,1819,8592,0,0
255,14142,1399,1819,8591,0,0
260,14135,1393,1818,8591,0,0
265,14134,1393,1818,8591,0,0
270,14134,1393,1818,8591,0,0
275,14133,1393,1818,8591,0,0
280,14131,1392,1818,8591,0,0
285,14131,1392,1818,8591,0,0
290,14130,1390,1819,8591,0,0
295,14129,1390,1819,8590,0,0
300,14129,1390,1818,8590,0,0
305,14126,1390,1817,8588,0,0
310,14125,1390,1817,8588,0,0
315,14125,1390,1815,8588,0,0
320,14123,1390,1814,8588,0,0
325,14122,1390,1813,8586,0,0
330,14114,1385,1812,8586,0,0
335,14113,1385,1812,8586,0,0
340,14112,1384,1812,8586,0,0
345,14112,1384,1812,8586,0,0
350,14110,1383,1812,8585,0,0
355,14110,1383,1808,8585,0,0
360,14103,1382,1808,8584,0,0
365,14103,1382,1808,8584,0,0
370,14103,1382,1808,8584,0,0
375,14103,1382,1808,8584,0,0
380,14101,1379,1809,8584,0,0
385,14101,1379,1809,8584,0,0
390,14101,1379,1809,8584,0,0
395,14101,1379,1808,8583,0,0
400,14099,1379,1808,8583,0,0
405,14098,1379,1808,8582,0,0
410,14090,1372,1808,8581,0,0
415,14090,1372,1808,8580,0,0
420,14088,1372,1808,8579,0,0
