day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14039,1420,1825,8446,0,0
15,14039,1420,1825,8446,0,0
20,14039,1420,1825,8446,0,0
25,14038,1420,1825,8445,0,0
30,14038,1420,1825,8445,0,0
35,14037,1420,1825,8444,0,0
40,14036,1420,1825,8444,0,0
45,14034,1420,1825,8442,0,0
50,14032,1418,1825,8442,0,0
55,14032,1418,1825,8442,0,0
60,14031,1418,1825,8442,0,0
65,14031,1418,1825,8442,0,0
70,14030,1418,1825,8441,0,0
75,14029,1418,1825,8441,0,0
80,14029,1418,1825,8440,0,0
85,14027,1418,1825,8440,0,0
90,14025,1418,1824,8440,0,0
95,14023,1418,1824,8440,0,0
100,14023,1418,1823,8440,0,0
105,14021,1418,1823,8439,0,0
110,14021,1418,1822,8439,0,0
115,14019,1418,1822,8439,0,0
120,14018,1417,1822,8439,0,0
125,14016,1417,1822,8439,0,0
130,14012,1415,1822,8438,0,0
135,14012,1415,1822,8438,0,0
140,14008,1411,1822,8438,0,0
145,14008,1411,1822,8438,0,0
150,14005,1410,1822,8438,0,0
155,14004,1410,1822,8438,0,0
160,14004,1410,1822,8438,0,0
165,14004,1410,1821,8438,0,0
170,14002,1409,1821,8437,0,0
175,14001,1409,1821,8437,0,0
180,14000,1409,1821,8437,0,0
185,14000,1409,1821,8437,0,0
190,13999,1409,1821,8437,0,0
195,13999,1409,1821,8437,0,0
200,13998,1409,1821,8437,0,0
205,13998,1409,1821,8437,0,0
210,13989,1400,1821,8437,0,0
215,13989,1400,1821,8437,0,0
220,13987,1399,1821,8437,0,0
225,13987,1399,1821,8437,0,0
230,13986,1399,1820,8437,0,0
235,13985,1399,1820,8437,0,0
240,13984,1399,1820,8437,0,0
245,13984,1399,1819,8437,0,0
250,15749,1399,1818,9926,1,0
255,15360,1399,1818,9725,0,0
260,15354,1393,1817,9725,0,0
265,15350,1393,1817,9722,0,0
270,15347,1393,1817,9719,0,0
275,15345,1393,1817,9718,0,0
280,15343,1392,1817,9718,0,0
285,15339,1392,1817,9714,0,0
290,15335,1390,1817,9712,0,0
295,15332,1390,1817,9709,0,0
300,15329,1390,1816,9706,0,0
305,15326,1390,1815,9704,0,0
310,15322,1390,1815,9701,0,0
315,15317,1390,1813,9696,0,0
320,15315,1390,1812,9696,0,0
325,15311,1390,1811,9693,0,0
330,15304,1385,1810,9692,0,0
335,15300,1385,1810,9689,0,0
340,15297,1384,1810,9687,0,0
345,15297,1384,1810,9687,0,0
350,15295,1383,1810,9686,0,0
355,15294,1383,1806,9685,0,0
360,15288,1382,1806,9685,0,0
365,15287,1382,1806,9684,0,0
370,15287,1382,1806,9684,0,0
375,15287,1382,1806,9684,0,0
380,15282,1379,1806,9682,0,0
385,15282,1379,1806,9682,0,0
390,15280,1379,1806,9680,0,0
395,15277,1379,1805,9678,0,0
400,15276,1379,1805,9678,0,0
405,15275,1379,1805,9677,0,0
410,15268,1372,1805,9676,0,0
415,15266,1372,1805,9675,0,0
420,15263,1372,1805,9673,0,0
