day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14040,1420,1825,8447,0,0
15,14039,1420,1825,8446,0,0
20,14038,1420,1825,8445,0,0
25,14038,1420,1825,8445,0,0
30,14038,1420,1825,8445,0,0
35,14038,1420,1825,8445,0,0
40,14037,1420,1825,8445,0,0
45,14035,1420,1825,8443,0,0
50,14032,1418,1825,8442,0,0
55,14032,1418,1825,8441,0,0
60,14030,1418,1825,8441,0,0
65,14030,1418,1825,8441,0,0
70,14029,1418,1825,8441,0,0
75,14029,1418,1825,8441,0,0
80,14029,1418,1825,8441,0,0
85,14028,1418,1825,8440,0,0
90,14027,1418,1824,8440,0,0
95,14025,1418,1824,8440,0,0
100,14024,1418,1823,8439,0,0
105,14022,1418,1823,8438,0,0
110,14022,1418,1822,8438,0,0
115,14020,1418,1822,8438,0,0
120,14019,1417,1822,8438,0,0
125,14016,1417,1822,8437,0,0
130,14013,1415,1822,8437,0,0
135,14013,1415,1822,8437,0,0
140,14010,1411,1823,8437,0,0
145,14010,1411,1823,8437,0,0
150,14007,1410,1823,8437,0,0
155,14006,1410,1823,8437,0,0
160,14006,1410,1823,8437,0,0
165,14006,1410,1822,8437,0,0
170,14004,1409,1822,8437,0,0
175,14004,1409,1822,8437,0,0
180,14003,1409,1822,8437,0,0
185,14003,1409,1822,8437,0,0
190,14002,1409,1822,8436,0,0
195,14001,1409,1822,8435,0,0
200,13999,1409,1822,8435,0,0
205,13999,1409,1822,8435,0,0
210,13991,1400,1823,8435,0,0
215,13991,1400,1823,8435,0,0
220,13989,1399,1823,8435,0,0
225,13989,1399,1823,8435,0,0
230,13989,1399,1822,8435,0,0
235,13988,1399,1822,8435,0,0
240,13987,1399,1822,8435,0,0
245,13987,1399,1821,8435,0,0
250,13987,1399,1821,8435,0,0
255,13984,1399,1821,8433,0,0
260,13979,1393,1821,8432,0,0
265,13977,1393,1821,8432,0,0
270,13977,1393,1821,8431,0,0
275,13974,1393,1820,8430,0,0
280,13971,1392,1820,8430,0,0
285,13970,1392,1820,8429,0,0
290,13967,1390,1820,8428,0,0
295,13967,1390,1820,8428,0,0
300,13967,1390,1819,8428,0,0
305,13966,1390,1818,8428,0,0
310,13965,1390,1818,8428,0,0
315,13965,1390,1816,8428,0,0
320,13962,1390,1815,8427,0,0
325,13961,1390,1814,8427,0,0
330,13956,1385,1814,8427,0,0
335,13955,1385,1814,8427,0,0
340,13954,1384,1814,8427,0,0
345,13952,1384,1814,8425,0,0
350,13950,1383,1814,8424,0,0
355,13948,1383,1810,8422,0,0
360,13942,1382,1810,8422,0,0
365,13940,1382,1810,8421,0,0
370,13940,1382,1810,8421,0,0
375,13940,1382,1810,8421,0,0
380,13937,1379,1810,8421,0,0
385,13937,1379,1810,8421,0,0
390,13937,1379,1810,8421,0,0
395,13935,1379,1809,8419,0,0
400,13932,1379,1809,8417,0,0
405,13932,1379,1809,8417,0,0
410,13925,1372,1809,8417,0,0
415,13925,1372,1809,8417,0,0
420,13924,1372,1809,8417,0,0
