day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14040,1420,1825,8447,0,0
15,14040,1420,1825,8447,0,0
20,14040,1420,1825,8447,0,0
25,14040,1420,1825,8447,0,0
30,14040,1420,1825,8447,0,0
35,14039,1420,1825,8446,0,0
40,14038,1420,1825,8446,0,0
45,14038,1420,1825,8446,0,0
50,14036,1418,1825,8446,0,0
55,14034,1418,1825,8443,0,0
60,14030,1418,1825,8441,0,0
65,14029,1418,1825,8440,0,0
70,14029,1418,1825,8440,0,0
75,14029,1418,1825,8440,0,0
80,14028,1418,1825,8439,0,0
85,14027,1418,1825,8439,0,0
90,14027,1418,1824,8439,0,0
95,14024,1418,1824,8438,0,0
100,14024,1418,1823,8438,0,0
105,14023,1418,1823,8438,0,0
110,14023,1418,1822,8438,0,0
115,14021,1418,1822,8438,0,0
120,14019,1417,1822,8437,0,0
125,14017,1417,1822,8437,0,0
130,14014,1415,1822,8437,0,0
135,14014,1415,1822,8437,0,0
140,14010,1411,1822,8436,0,0
145,14717,1411,1821,9086,1,0
150,14604,1410,1821,9029,0,0
155,14600,1410,1821,9026,0,0
160,14594,1410,1821,9020,0,0
165,14591,1410,1820,9017,0,0
170,14587,1409,1820,9015,0,0
175,14583,1409,1820,9011,0,0
180,14581,1409,1820,9010,0,0
185,14577,1409,1820,9007,0,0
190,14573,1409,1820,9004,0,0
195,14571,1409,1820,9002,0,0
200,14566,1409,1820,8998,0,0
205,14564,1409,1820,8996,0,0
210,14552,1400,1820,8993,0,0
215,14549,1400,1820,8990,0,0
220,14548,1399,1820,8990,0,0
225,14545,1399,1820,8987,0,0
230,14542,1399,1819,8984,0,0
235,14539,1399,1819,8982,0,0
240,14537,1399,1819,8981,0,0
245,14533,1399,1818,8977,0,0
250,14530,1399,1818,8974,0,0
255,14521,1399,1818,8966,0,0
260,14511,1393,1817,8962,0,0
265,14499,1393,1817,8951,0,0
270,14496,1393,1817,8948,0,0
275,14492,1393,1817,8945,0,0
280,14487,1392,1817,8942,0,0
285,14486,1392,1817,8941,0,0
290,14483,1390,1817,8940,0,0
295,14482,1390,1817,8939,0,0
300,14479,1390,1816,8936,0,0
305,14477,1390,1815,8934,0,0
310,14473,1390,1815,8932,0,0
315,14470,1390,1813,8929,0,0
320,14668,1390,1812,9121,1,0
325,14649,1390,1811,9108,0,0
330,14641,1385,1810,9106,0,0
335,14638,1385,1810,9103,0,0
340,14636,1384,1810,9103,0,0
345,14630,1384,1810,9097,0,0
350,14623,1383,1810,9091,0,0
355,14621,1383,1806,9089,0,0
360,14613,1382,1806,9087,0,0
365,14609,1382,1806,9083,0,0
370,14605,1382,1806,9079,0,0
375,14603,1382,1806,9077,0,0
380,14599,1379,1806,9076,0,0
385,14596,1379,1806,9073,0,0
390,14593,1379,1806,9070,0,0
395,14591,1379,1805,9067,0,0
400,14587,1379,1805,9064,0,0
405,14583,1379,1805,9060,0,0
410,14572,1372,1805,9057,0,0
415,14570,1372,1805,9055,0,0
420,14567,1372,1805,9052,0,0
