day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14040,1420,1825,8447,0,0
15,14040,1420,1825,8447,0,0
20,14040,1420,1825,8447,0,0
25,14040,1420,1825,8447,0,0
30,14040,1420,1825,8445,0,0
35,14037,1420,1825,8444,0,0
40,14035,1420,1825,8443,0,0
45,14035,1420,1825,8443,0,0
50,14032,1418,1825,8443,0,0
55,14032,1418,1825,8443,0,0
60,14031,1418,1825,8443,0,0
65,14031,1418,1825,8443,0,0
70,14031,1418,1825,8443,0,0
75,14031,1418,1825,8443,0,0
80,14031,1418,1825,8443,0,0
85,14030,1418,1825,8443,0,0
90,14030,1418,1824,8443,0,0
95,14027,1418,1824,8442,0,0
100,14027,1418,1823,8442,0,0
105,14026,1418,1823,8442,0,0
110,14026,1418,1822,8442,0,0
115,14024,1418,1822,8442,0,0
120,14023,1417,1822,8442,0,0
125,14019,1417,1822,8440,0,0
130,14016,1415,1822,8440,0,0
135,14016,1415,1822,8440,0,0
140,14011,1411,1822,8439,0,0
145,14011,1411,1822,8439,0,0
150,14008,1410,1822,8439,0,0
155,14007,1410,1822,8439,0,0
160,14007,1410,1822,8439,0,0
165,14007,1410,1821,8439,0,0
170,14005,1409,1821,8439,0,0
175,14005,1409,1821,8439,0,0
180,14004,1409,1821,8439,0,0
185,14004,1409,1821,8439,0,0
190,14003,1409,1821,8438,0,0
195,14002,1409,1821,8438,0,0
200,14000,1409,1821,8438,0,0
205,13999,1409,1821,8438,0,0
210,13991,1400,1822,8438,0,0
215,13991,1400,1822,8438,0,0
220,13989,1399,1822,8438,0,0
225,13988,1399,1822,8437,0,0
230,13988,1399,1821,8437,0,0
235,13987,1399,1821,8437,0,0
240,13986,1399,1821,8437,0,0
245,13985,1399,1820,8436,0,0
250,13983,1399,1820,8434,0,0
255,13981,1399,1820,8434,0,0
260,13975,1393,1819,8434,0,0
265,13974,1393,1819,8434,0,0
270,13974,1393,1819,8434,0,0
275,13973,1393,1819,8434,0,0
280,13971,1392,1819,8434,0,0
285,13971,1392,1819,8434,0,0
290,13970,1390,1820,8434,0,0
295,13970,1390,1820,8433,0,0
300,13968,1390,1819,8432,0,0
305,13967,1390,1818,8432,0,0
310,13965,1390,1818,8431,0,0
315,13965,1390,1816,8431,0,0
320,13963,1390,1815,8431,0,0
325,13962,1390,1814,8431,0,0
330,13956,1385,1813,8431,0,0
335,13955,1385,1813,8431,0,0
340,13954,1384,1813,8431,0,0
345,13954,1384,1813,8431,0,0
350,13953,1383,1813,8431,0,0
355,13953,1383,1809,8431,0,0
360,13947,1382,1809,8431,0,0
365,14872,1382,1809,9218,1,0
370,14682,1382,1809,9120,0,0
375,14681,1382,1809,9119,0,0
380,14677,1379,1809,9118,0,0
385,14676,1379,1809,9117,0,0
390,14673,1379,1809,9114,0,0
395,14672,1379,1808,9113,0,0
400,14671,1379,1808,9113,0,0
405,14671,1379,1808,9113,0,0
410,14664,1372,1808,9112,0,0
415,14662,1372,1808,9111,0,0
420,14662,1372,1808,9111,0,0
