day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14040,1420,1825,8447,0,0
15,14040,1420,1825,8447,0,0
20,14040,1420,1825,8447,0,0
25,14039,1420,1825,8445,0,0
30,14038,1420,1825,8445,0,0
35,14037,1420,1825,8444,0,0
40,14036,1420,1825,8444,0,0
45,14036,1420,1825,8444,0,0
50,14034,1418,1825,8444,0,0
55,14033,1418,1825,8443,0,0
60,14032,1418,1825,8443,0,0
65,14032,1418,1825,8443,0,0
70,14032,1418,1825,8443,0,0
75,14032,1418,1825,8443,0,0
80,14032,1418,1825,8443,0,0
85,14031,1418,1825,8443,0,0
90,14031,1418,1824,8443,0,0
95,14029,1418,1824,8443,0,0
100,18347,1418,1823,12092,1,0
105,17556,1418,1823,11664,0,0
110,17552,1418,1822,11660,0,0
115,17550,1418,1822,11660,0,0
120,17549,1417,1822,11660,0,0
125,17546,1417,1822,11659,0,0
130,17544,1415,1823,11659,0,0
135,17544,1415,1823,11659,0,0
140,17540,1411,1823,11659,0,0
145,17538,1411,1823,11657,0,0
150,17535,1410,1823,11656,0,0
155,17532,1410,1823,11656,0,0
160,17531,1410,1823,11655,0,0
165,17528,1410,1822,11652,0,0
170,17526,1409,1822,11652,0,0
175,17525,1409,1822,11651,0,0
180,17521,1409,1822,11648,0,0
185,17520,1409,1822,11647,0,0
190,17518,1409,1822,11646,0,0
195,17517,1409,1822,11645,0,0
200,17514,1409,1822,11643,0,0
205,17514,1409,1822,11643,0,0
210,17504,1400,1822,11642,0,0
215,17503,1400,1822,11641,0,0
220,17501,1399,1822,11641,0,0
225,17500,1399,1822,11640,0,0
230,17498,1399,1821,11638,0,0
235,17496,1399,1821,11637,0,0
240,17492,1399,1821,11634,0,0
245,17491,1399,1820,11633,0,0
250,17490,1399,1820,11632,0,0
255,17487,1399,1820,11629,0,0
260,17480,1393,1819,11629,0,0
265,17479,1393,1819,11629,0,0
270,17478,1393,1819,11628,0,0
275,17472,1393,1819,11623,0,0
280,17468,1392,1819,11621,0,0
285,17465,1392,1819,11618,0,0
290,17463,1390,1819,11618,0,0
295,17461,1390,1819,11616,0,0
300,17460,1390,1818,11614,0,0
305,17456,1390,1817,11612,0,0
310,17453,1390,1817,11610,0,0
315,17452,1390,1815,11609,0,0
320,17448,1390,1814,11607,0,0
325,17446,1390,1813,11606,0,0
330,17436,1385,1812,11602,0,0
335,17434,1385,1812,11601,0,0
340,17433,1384,1813,11600,0,0
345,17433,1384,1813,11600,0,0
350,17431,1383,1813,11599,0,0
355,17429,1383,1809,11597,0,0
360,17420,1382,1809,11593,0,0
365,17415,1382,1809,11589,0,0
370,17414,1382,1808,11588,0,0
375,17411,1382,1808,11586,0,0
380,17407,1379,1808,11586,0,0
385,17405,1379,1808,11584,0,0
390,17401,1379,1808,11580,0,0
395,17398,1379,1807,11577,0,0
400,17396,1379,1807,11576,0,0
405,17388,1379,1807,11568,0,0
410,17378,1372,1807,11566,0,0
415,17374,1372,1807,11562,0,0
420,17370,1372,1807,11558,0,0
