day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14041,1420,1826,8447,0,0
15,14041,1420,1826,8447,0,0
20,14040,1420,1826,8446,0,0
25,14039,1420,1826,8445,0,0
30,14039,1420,1826,8445,0,0
35,14038,1420,1826,8444,0,0
40,14037,1420,1826,8444,0,0
45,14037,1420,1826,8444,0,0
50,14034,1418,1826,8443,0,0
55,14032,1418,1826,8441,0,0
60,14031,1418,1826,8441,0,0
65,14031,1418,1826,8441,0,0
70,14030,1418,1826,8440,0,0
75,14030,1418,1826,8440,0,0
80,14030,1418,1826,8440,0,0
85,14029,1418,1826,8440,0,0
90,14029,1418,1825,8440,0,0
95,14027,1418,1825,8440,0,0
100,14026,1418,1824,8440,0,0
105,14024,1418,1824,8440,0,0
110,14024,1418,1823,8440,0,0
115,14022,1418,1823,8440,0,0
120,14021,1417,1823,8439,0,0
125,14017,1417,1823,8438,0,0
130,14015,1415,1824,8438,0,0
135,14015,1415,1824,8438,0,0
140,14011,1411,1824,8438,0,0
145,14011,1411,1824,8438,0,0
150,14009,1410,1825,8438,0,0
155,14008,1410,1825,8438,0,0
160,14008,1410,1825,8438,0,0
165,14008,1410,1824,8438,0,0
170,14006,1409,1824,8437,0,0
175,14005,1409,1824,8437,0,0
180,14004,1409,1824,8437,0,0
185,14004,1409,1824,8437,0,0
190,14003,1409,1824,8437,0,0
195,14003,1409,1824,8437,0,0
200,14002,1409,1824,8437,0,0
205,14002,1409,1824,8437,0,0
210,13994,1400,1825,8437,0,0
215,13994,1400,1825,8437,0,0
220,13992,1399,1825,8437,0,0
225,13992,1399,1825,8437,0,0
230,13992,1399,1824,8437,0,0
235,13991,1399,1824,8437,0,0
240,13990,1399,1824,8437,0,0
245,13990,1399,1823,8437,0,0
250,13990,1399,1823,8437,0,0
255,13989,1399,1823,8437,0,0
260,13983,1393,1822,8437,0,0
265,13982,1393,1822,8437,0,0
270,13982,1393,1822,8437,0,0
275,13979,1393,1822,8435,0,0
280,13976,1392,1822,8435,0,0
285,13976,1392,1822,8435,0,0
290,13974,1390,1822,8435,0,0
295,13974,1390,1822,8435,0,0
300,13973,1390,1821,8434,0,0
305,13972,1390,1820,8434,0,0
310,13971,1390,1820,8434,0,0
315,13971,1390,1818,8434,0,0
320,13969,1390,1817,8434,0,0
325,13968,1390,1816,8434,0,0
330,13962,1385,1815,8434,0,0
335,13961,1385,1814,8434,0,0
340,13959,1384,1814,8434,0,0
345,13958,1384,1814,8433,0,0
350,13957,1383,1814,8433,0,0
355,13957,1383,1810,8433,0,0
360,13950,1382,1810,8432,0,0
365,13950,1382,1810,8432,0,0
370,13950,1382,1810,8432,0,0
375,13950,1382,1810,8432,0,0
380,13947,1379,1810,8432,0,0
385,13947,1379,1810,8432,0,0
390,13947,1379,1810,8432,0,0
395,13947,1379,1809,8432,0,0
400,13946,1379,1809,8432,0,0
405,13945,1379,1809,8431,0,0
410,13938,1372,1809,8430,0,0
415,13937,1372,1809,8430,0,0
420,13937,1372,1809,8430,0,0
