day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14040,1420,1825,8447,0,0
15,14040,1420,1825,8447,0,0
20,14039,1420,1825,8446,0,0
25,14038,1420,1825,8445,0,0
30,14038,1420,1825,8445,0,0
35,14037,1420,1825,8444,0,0
40,14035,1420,1825,8443,0,0
45,14034,1420,1825,8442,0,0
50,14032,1418,1825,8442,0,0
55,14030,1418,1825,8441,0,0
60,14029,1418,1825,8441,0,0
65,14758,1418,1824,9146,1,0
70,14709,1418,1824,9112,0,0
75,14709,1418,1824,9112,0,0
80,14708,1418,1824,9111,0,0
85,14707,1418,1824,9111,0,0
90,14706,1418,1823,9110,0,0
95,14702,1418,1823,9108,0,0
100,14702,1418,1822,9108,0,0
105,14701,1418,1822,9108,0,0
110,14701,1418,1821,9108,0,0
115,14699,1418,1821,9108,0,0
120,14698,1417,1821,9108,0,0
125,14696,1417,1821,9108,0,0
130,14693,1415,1821,9108,0,0
135,14693,1415,1821,9108,0,0
140,14688,1411,1821,9107,0,0
145,14687,1411,1821,9106,0,0
150,14684,1410,1821,9106,0,0
155,14683,1410,1821,9106,0,0
160,14683,1410,1821,9106,0,0
165,14683,1410,1820,9106,0,0
170,14682,1409,1821,9106,0,0
175,14682,1409,1821,9106,0,0
180,14681,1409,1821,9106,0,0
185,14681,1409,1821,9106,0,0
190,14679,1409,1821,9105,0,0
195,14679,1409,1821,9105,0,0
200,14678,1409,1821,9105,0,0
205,14678,1409,1821,9105,0,0
210,14669,1400,1821,9105,0,0
215,14669,1400,1821,9105,0,0
220,14667,1399,1821,9105,0,0
225,14666,1399,1821,9104,0,0
230,14665,1399,1820,9103,0,0
235,14664,1399,1820,9103,0,0
240,14662,1399,1820,9102,0,0
245,14662,1399,1819,9102,0,0
250,14661,1399,1819,9101,0,0
255,14660,1399,1819,9101,0,0
260,14653,1393,1818,9100,0,0
265,14652,1393,1818,9099,0,0
270,14649,1393,1818,9098,0,0
275,14647,1393,1818,9097,0,0
280,14644,1392,1818,9097,0,0
285,14644,1392,1818,9097,0,0
290,14640,1390,1818,9096,0,0
295,14638,1390,1818,9094,0,0
300,14638,1390,1817,9094,0,0
305,14636,1390,1816,9093,0,0
310,14635,1390,1816,9093,0,0
315,14635,1390,1814,9093,0,0
320,14633,1390,1813,9093,0,0
325,14632,1390,1812,9093,0,0
330,14624,1385,1811,9091,0,0
335,14622,1385,1811,9090,0,0
340,14621,1384,1811,9089,0,0
345,14620,1384,1811,9088,0,0
350,14618,1383,1811,9088,0,0
355,14618,1383,1807,9088,0,0
360,14611,1382,1807,9087,0,0
365,14610,1382,1807,9086,0,0
370,14610,1382,1807,9086,0,0
375,14610,1382,1807,9086,0,0
380,14607,1379,1807,9086,0,0
385,14607,1379,1807,9086,0,0
390,14607,1379,1807,9086,0,0
395,14607,1379,1806,9086,0,0
400,14606,1379,1806,9086,0,0
405,14605,1379,1806,9085,0,0
410,14597,1372,1806,9084,0,0
415,14597,1372,1806,9084,0,0
420,14597,1372,1806,9084,0,0
