day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14040,1420,1825,8447,0,0
15,14040,1420,1825,8447,0,0
20,14039,1420,1825,8446,0,0
25,14038,1420,1825,8445,0,0
30,14038,1420,1825,8445,0,0
35,14038,1420,1825,8445,0,0
40,14037,1420,1825,8445,0,0
45,14036,1420,1825,8444,0,0
50,14034,1418,1825,8444,0,0
55,14034,1418,1825,8444,0,0
60,14033,1418,1825,8444,0,0
65,14033,1418,1825,8444,0,0
70,14033,1418,1825,8444,0,0
75,14033,1418,1825,8444,0,0
80,14033,1418,1825,8443,0,0
85,14031,1418,1825,8443,0,0
90,14031,1418,1824,8443,0,0
95,14029,1418,1824,8443,0,0
100,14029,1418,1823,8443,0,0
105,14028,1418,1823,8443,0,0
110,14028,1418,1822,8443,0,0
115,14026,1418,1822,8443,0,0
120,14025,1417,1822,8442,0,0
125,14022,1417,1822,8441,0,0
130,14017,1415,1822,8440,0,0
135,14017,1415,1822,8440,0,0
140,14013,1411,1822,8440,0,0
145,14013,1411,1822,8440,0,0
150,14010,1410,1822,8440,0,0
155,14008,1410,1822,8438,0,0
160,14007,1410,1822,8438,0,0
165,14007,1410,1821,8438,0,0
170,14005,1409,1821,8438,0,0
175,14005,1409,1821,8438,0,0
180,14004,1409,1821,8438,0,0
185,14004,1409,1821,8438,0,0
190,14003,1409,1821,8438,0,0
195,14002,1409,1821,8438,0,0
200,14001,1409,1821,8438,0,0
205,14001,1409,1821,8438,0,0
210,13993,1400,1822,8438,0,0
215,13993,1400,1822,8438,0,0
220,13991,1399,1822,8438,0,0
225,13990,1399,1822,8437,0,0
230,13990,1399,1821,8437,0,0
235,13989,1399,1821,8437,0,0
240,13988,1399,1821,8437,0,0
245,13988,1399,1820,8436,0,0
250,15756,1399,1819,9927,1,0
255,15393,1399,1819,9738,0,0
260,15385,1393,1819,9736,0,0
265,15384,1393,1819,9736,0,0
270,15383,1393,1819,9736,0,0
275,15378,1393,1819,9732,0,0
280,15375,1392,1819,9731,0,0
285,15375,1392,1819,9731,0,0
290,15372,1390,1820,9729,0,0
295,15371,1390,1820,9728,0,0
300,15364,1390,1819,9721,0,0
305,15360,1390,1818,9718,0,0
310,15359,1390,1818,9718,0,0
315,15357,1390,1816,9716,0,0
320,15353,1390,1815,9714,0,0
325,15350,1390,1814,9712,0,0
330,15344,1385,1814,9710,0,0
335,15339,1385,1814,9707,0,0
340,15336,1384,1814,9705,0,0
345,15334,1384,1814,9703,0,0
350,15331,1383,1814,9701,0,0
355,15331,1383,1810,9701,0,0
360,15322,1382,1810,9698,0,0
365,15321,1382,1810,9697,0,0
370,15318,1382,1810,9693,0,0
375,15314,1382,1810,9690,0,0
380,15309,1379,1810,9688,0,0
385,15305,1379,1810,9684,0,0
390,15302,1379,1810,9681,0,0
395,15300,1379,1809,9679,0,0
400,15298,1379,1809,9678,0,0
405,15297,1379,1809,9677,0,0
410,15289,1372,1809,9676,0,0
415,15289,1372,1809,9676,0,0
420,15289,1372,1809,9675,0,0
