day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14041,1420,1826,8447,0,0
15,14041,1420,1826,8447,0,0
20,14040,1420,1826,8446,0,0
25,14039,1420,1826,8445,0,0
30,14039,1420,1826,8445,0,0
35,14039,1420,1826,8445,0,0
40,14038,1420,1826,8444,0,0
45,14037,1420,1826,8444,0,0
50,14037,1418,1828,8444,0,0
55,14037,1418,1828,8444,0,0
60,14036,1418,1828,8444,0,0
65,14036,1418,1828,8444,0,0
70,14035,1418,1828,8443,0,0
75,14035,1418,1828,8443,0,0
80,14035,1418,1828,8443,0,0
85,14033,1418,1828,8442,0,0
90,14033,1418,1827,8442,0,0
95,14031,1418,1827,8441,0,0
100,14030,1418,1826,8441,0,0
105,14029,1418,1826,8441,0,0
110,14029,1418,1825,8441,0,0
115,14027,1418,1825,8441,0,0
120,14026,1417,1825,8441,0,0
125,14024,1417,1825,8441,0,0
130,14022,1415,1826,8441,0,0
135,14022,1415,1826,8441,0,0
140,14018,1411,1826,8441,0,0
145,14018,1411,1826,8441,0,0
150,14015,1410,1826,8441,0,0
155,14014,1410,1826,8441,0,0
160,14014,1410,1826,8441,0,0
165,14014,1410,1825,8441,0,0
170,14012,1409,1825,8441,0,0
175,14012,1409,1825,8441,0,0
180,14011,1409,1825,8441,0,0
185,14011,1409,1825,8441,0,0
190,14010,1409,1825,8441,0,0
195,14010,1409,1825,8441,0,0
200,14008,1409,1825,8440,0,0
205,14008,1409,1825,8440,0,0
210,13999,1400,1825,8440,0,0
215,13999,1400,1825,8440,0,0
220,13997,1399,1825,8440,0,0
225,13997,1399,1825,8440,0,0
230,13997,1399,1824,8440,0,0
235,13996,1399,1824,8440,0,0
240,13994,1399,1823,8440,0,0
245,13994,1399,1822,8439,0,0
250,13993,1399,1822,8439,0,0
255,13992,1399,1822,8439,0,0
260,13987,1393,1822,8439,0,0
265,13986,1393,1822,8439,0,0
270,13986,1393,1822,8439,0,0
275,13985,1393,1822,8439,0,0
280,13983,1392,1822,8439,0,0
285,13983,1392,1822,8439,0,0
290,13982,1390,1823,8439,0,0
295,13982,1390,1823,8439,0,0
300,13981,1390,1822,8438,0,0
305,13980,1390,1821,8438,0,0
310,13979,1390,1821,8438,0,0
315,13979,1390,1819,8438,0,0
320,13977,1390,1818,8438,0,0
325,13976,1390,1817,8438,0,0
330,13970,1385,1816,8437,0,0
335,13967,1385,1816,8436,0,0
340,13966,1384,1816,8436,0,0
345,13966,1384,1816,8436,0,0
350,13965,1383,1816,8436,0,0
355,13965,1383,1812,8436,0,0
360,13959,1382,1812,8435,0,0
365,13958,1382,1812,8435,0,0
370,13957,1382,1812,8434,0,0
375,13957,1382,1812,8434,0,0
380,13953,1379,1812,8433,0,0
385,13953,1379,1812,8433,0,0
390,13953,1379,1812,8433,0,0
395,13953,1379,1811,8433,0,0
400,13952,1379,1811,8433,0,0
405,13952,1379,1811,8433,0,0
410,13944,1372,1811,8432,0,0
415,13944,1372,1811,8432,0,0
420,13944,1372,1811,8431,0,0
