day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14041,1420,1826,8447,0,0
15,14041,1420,1826,8447,0,0
20,14041,1420,1826,8447,0,0
25,14040,1420,1826,8446,0,0
30,14040,1420,1826,8446,0,0
35,14038,1420,1826,8444,0,0
40,14036,1420,1826,8443,0,0
45,14036,1420,1826,8443,0,0
50,14034,1418,1826,8443,0,0
55,14034,1418,1826,8443,0,0
60,14033,1418,1826,8443,0,0
65,14033,1418,1826,8443,0,0
70,14033,1418,1826,8443,0,0
75,14032,1418,1826,8442,0,0
80,14032,1418,1826,8442,0,0
85,14031,1418,1826,8442,0,0
90,14031,1418,1825,8442,0,0
95,14029,1418,1825,8442,0,0
100,14029,1418,1824,8442,0,0
105,14028,1418,1824,8442,0,0
110,14027,1418,1823,8441,0,0
115,14025,1418,1823,8441,0,0
120,14024,1417,1823,8441,0,0
125,14022,1417,1823,8441,0,0
130,14019,1415,1823,8441,0,0
135,14019,1415,1823,8441,0,0
140,14015,1411,1823,8441,0,0
145,14015,1411,1823,8441,0,0
150,14012,1410,1823,8440,0,0
155,14010,1410,1823,8440,0,0
160,14010,1410,1823,8440,0,0
165,14010,1410,1822,8440,0,0
170,14008,1409,1822,8440,0,0
175,14008,1409,1822,8440,0,0
180,14007,1409,1822,8440,0,0
185,14007,1409,1822,8440,0,0
190,14006,1409,1822,8440,0,0
195,14006,1409,1822,8440,0,0
200,14005,1409,1822,8440,0,0
205,14005,1409,1822,8440,0,0
210,13996,1400,1822,8440,0,0
215,13996,1400,1822,8440,0,0
220,13994,1399,1822,8440,0,0
225,13994,1399,1822,8440,0,0
230,13994,1399,1821,8440,0,0
235,13993,1399,1821,8440,0,0
240,13992,1399,1821,8440,0,0
245,13992,1399,1820,8440,0,0
250,13992,1399,1820,8440,0,0
255,13991,1399,1820,8440,0,0
260,13986,1393,1820,8440,0,0
265,13985,1393,1820,8440,0,0
270,13984,1393,1820,8439,0,0
275,13983,1393,1820,8439,0,0
280,13980,1392,1820,8438,0,0
285,13980,1392,1820,8438,0,0
290,13978,1390,1821,8437,0,0
295,13978,1390,1821,8437,0,0
300,13977,1390,1820,8436,0,0
305,13976,1390,1819,8436,0,0
310,13974,1390,1819,8435,0,0
315,13974,1390,1817,8435,0,0
320,13971,1390,1816,8434,0,0
325,13970,1390,1815,8434,0,0
330,13963,1385,1814,8433,0,0
335,13962,1385,1814,8433,0,0
340,13961,1384,1814,8433,0,0
345,13961,1384,1814,8433,0,0
350,13960,1383,1814,8433,0,0
355,13960,1383,1810,8433,0,0
360,13954,1382,1810,8433,0,0
365,13954,1382,1810,8432,0,0
370,13953,1382,1810,8432,0,0
375,13953,1382,1810,8432,0,0
380,13950,1379,1810,8432,0,0
385,13950,1379,1810,8432,0,0
390,13950,1379,1810,8431,0,0
395,13950,1379,1809,8431,0,0
400,13949,1379,1809,8431,0,0
405,13948,1379,1809,8431,0,0
410,13941,1372,1809,8431,0,0
415,13941,1372,1809,8431,0,0
420,13941,1372,1809,8431,0,0
