day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14040,1420,1825,8447,0,0
15,14040,1420,1825,8447,0,0
20,14039,1420,1825,8446,0,0
25,14039,1420,1825,8446,0,0
30,14039,1420,1825,8445,0,0
35,14037,1420,1825,8444,0,0
40,14034,1420,1825,8442,0,0
45,14034,1420,1825,8442,0,0
50,14032,1418,1825,8442,0,0
55,14031,1418,1825,8441,0,0
60,14030,1418,1825,8441,0,0
65,14029,1418,1825,8440,0,0
70,14029,1418,1825,8440,0,0
75,14029,1418,1825,8440,0,0
80,14029,1418,1825,8440,0,0
85,14027,1418,1825,8440,0,0
90,14026,1418,1824,8439,0,0
95,14024,1418,1824,8439,0,0
100,14023,1418,1823,8438,0,0
105,14022,1418,1823,8438,0,0
110,14022,1418,1822,8438,0,0
115,14020,1418,1822,8438,0,0
120,14019,1417,1822,8438,0,0
125,14017,1417,1822,8438,0,0
130,14014,1415,1822,8438,0,0
135,14014,1415,1822,8438,0,0
140,14011,1411,1823,8438,0,0
145,14011,1411,1823,8438,0,0
150,14008,1410,1823,8438,0,0
155,14006,1410,1823,8437,0,0
160,14006,1410,1823,8437,0,0
165,14006,1410,1822,8437,0,0
170,14004,1409,1822,8437,0,0
175,14004,1409,1822,8437,0,0
180,14003,1409,1822,8437,0,0
185,14003,1409,1822,8437,0,0
190,14000,1409,1822,8436,0,0
195,14000,1409,1822,8436,0,0
200,13998,1409,1822,8435,0,0
205,13998,1409,1822,8435,0,0
210,13989,1400,1822,8435,0,0
215,13989,1400,1822,8435,0,0
220,13987,1399,1822,8435,0,0
225,13987,1399,1822,8435,0,0
230,13986,1399,1821,8434,0,0
235,13985,1399,1821,8434,0,0
240,13984,1399,1821,8434,0,0
245,13984,1399,1820,8434,0,0
250,13984,1399,1820,8434,0,0
255,13982,1399,1820,8433,0,0
260,13976,1393,1819,8433,0,0
265,13975,1393,1819,8433,0,0
270,13975,1393,1819,8433,0,0
275,13974,1393,1819,8433,0,0
280,13972,1392,1819,8433,0,0
285,13972,1392,1819,8433,0,0
290,13970,1390,1819,8433,0,0
295,13970,1390,1819,8433,0,0
300,13970,1390,1818,8433,0,0
305,13969,1390,1817,8432,0,0
310,13967,1390,1816,8432,0,0
315,13967,1390,1814,8432,0,0
320,13964,1390,1813,8432,0,0
325,13963,1390,1812,8432,0,0
330,13957,1385,1811,8432,0,0
335,13956,1385,1811,8432,0,0
340,13955,1384,1811,8432,0,0
345,13954,1384,1811,8431,0,0
350,13953,1383,1811,8431,0,0
355,13953,1383,1807,8431,0,0
360,13947,1382,1807,8431,0,0
365,13947,1382,1807,8431,0,0
370,13947,1382,1807,8431,0,0
375,13947,1382,1807,8431,0,0
380,13943,1379,1807,8429,0,0
385,13942,1379,1807,8429,0,0
390,13942,1379,1807,8429,0,0
395,13941,1379,1806,8428,0,0
400,13940,1379,1806,8428,0,0
405,13940,1379,1806,8428,0,0
410,13933,1372,1806,8428,0,0
415,13933,1372,1806,8428,0,0
420,13933,1372,1806,8428,0,0
