day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14038,1420,1825,8445,0,0
15,14038,1420,1825,8445,0,0
20,14038,1420,1825,8445,0,0
25,14038,1420,1825,8445,0,0
30,14038,1420,1825,8445,0,0
35,14038,1420,1825,8445,0,0
40,14037,1420,1825,8445,0,0
45,14037,1420,1825,8445,0,0
50,14035,1418,1825,8445,0,0
55,14034,1418,1825,8444,0,0
60,14033,1418,1825,8444,0,0
65,14033,1418,1825,8443,0,0
70,14032,1418,1825,8443,0,0
75,14032,1418,1825,8443,0,0
80,14032,1418,1825,8443,0,0
85,14031,1418,1825,8443,0,0
90,14029,1418,1824,8443,0,0
95,14027,1418,1824,8443,0,0
100,14026,1418,1823,8442,0,0
105,14025,1418,1823,8442,0,0
110,14024,1418,1822,8441,0,0
115,14022,1418,1822,8441,0,0
120,14021,1417,1822,8441,0,0
125,14018,1417,1822,8440,0,0
130,14015,1415,1822,8440,0,0
135,14015,1415,1822,8440,0,0
140,14011,1411,1822,8440,0,0
145,14011,1411,1822,8440,0,0
150,14008,1410,1822,8440,0,0
155,14007,1410,1822,8440,0,0
160,14007,1410,1822,8440,0,0
165,14007,1410,1821,8440,0,0
170,14005,1409,1821,8440,0,0
175,14005,1409,1821,8440,0,0
180,14003,1409,1821,8439,0,0
185,14002,1409,1821,8438,0,0
190,14001,1409,1821,8438,0,0
195,14001,1409,1821,8438,0,0
200,14000,1409,1821,8438,0,0
205,14000,1409,1821,8438,0,0
210,13991,1400,1821,8438,0,0
215,13991,1400,1821,8438,0,0
220,13989,1399,1821,8438,0,0
225,13989,1399,1821,8438,0,0
230,13989,1399,1820,8438,0,0
235,13988,1399,1820,8438,0,0
240,13987,1399,1820,8438,0,0
245,13986,1399,1819,8437,0,0
250,13986,1399,1819,8437,0,0
255,13985,1399,1819,8437,0,0
260,13979,1393,1818,8437,0,0
265,13978,1393,1818,8437,0,0
270,13978,1393,1818,8437,0,0
275,13977,1393,1818,8437,0,0
280,13975,1392,1818,8437,0,0
285,13975,1392,1818,8437,0,0
290,13973,1390,1818,8437,0,0
295,14177,1390,1818,8631,1,0
300,14159,1390,1817,8619,0,0
305,14157,1390,1816,8618,0,0
310,14156,1390,1816,8618,0,0
315,14155,1390,1814,8617,0,0
320,14152,1390,1813,8616,0,0
325,14151,1390,1812,8616,0,0
330,14146,1385,1812,8616,0,0
335,14145,1385,1812,8615,0,0
340,14143,1384,1812,8615,0,0
345,14141,1384,1812,8613,0,0
350,14140,1383,1812,8613,0,0
355,14140,1383,1808,8613,0,0
360,14134,1382,1809,8611,0,0
365,14133,1382,1809,8610,0,0
370,14133,1382,1809,8609,0,0
375,14132,1382,1809,8609,0,0
380,14127,1379,1809,8608,0,0
385,14127,1379,1809,8608,0,0
390,14126,1379,1809,8607,0,0
395,14126,1379,1808,8607,0,0
400,14125,1379,1808,8607,0,0
405,14123,1379,1808,8605,0,0
410,14117,1372,1809,8604,0,0
415,14116,1372,1809,8604,0,0
420,14116,1372,1809,8604,0,0
