day,total,active,derelict,debris,collisions,explosions
0,14041,1421,1825,8447,0,0
5,14041,1421,1825,8447,0,0
10,14039,1420,1825,8446,0,0
15,14039,1420,1825,8446,0,0
20,14039,1420,1825,8446,0,0
25,14039,1420,1825,8446,0,0
30,14039,1420,1825,8446,0,0
35,14038,1420,1825,8445,0,0
40,14037,1420,1825,8445,0,0
45,14035,1420,1825,8443,0,0
50,14033,1418,1826,8443,0,0
55,14033,1418,1826,8443,0,0
60,14031,1418,1826,8442,0,0
65,14031,1418,1826,8442,0,0
70,14031,1418,1826,8442,0,0
75,14031,1418,1826,8442,0,0
80,14031,1418,1826,8442,0,0
85,14029,1418,1826,8441,0,0
90,14029,1418,1825,8441,0,0
95,14027,1418,1825,8441,0,0
100,14027,1418,1824,8441,0,0
105,14026,1418,1824,8440,0,0
110,14025,1418,1823,8440,0,0
115,14022,1418,1823,8439,0,0
120,14021,1417,1823,8439,0,0
125,14019,1417,1823,8438,0,0
130,14015,1415,1823,8438,0,0
135,14015,1415,1823,8438,0,0
140,14011,1411,1823,8438,0,0
145,14011,1411,1823,8438,0,0
150,14008,1410,1823,8438,0,0
155,14007,1410,1823,8438,0,0
160,14007,1410,1823,8438,0,0
165,14007,1410,1822,8438,0,0
170,14005,1409,1822,8438,0,0
175,14005,1409,1822,8438,0,0
180,14004,1409,1822,8438,0,0
185,14004,1409,1822,8438,0,0
190,14002,1409,1822,8437,0,0
195,14002,1409,1822,8437,0,0
200,14001,1409,1822,8436,0,0
205,14000,1409,1822,8436,0,0
210,13991,1400,1822,8436,0,0
215,13990,1400,1822,8435,0,0
220,14365,1399,1822,8794,1,0
225,14336,1399,1822,8779,0,0
230,14336,1399,1821,8779,0,0
235,14334,1399,1821,8778,0,0
240,14332,1399,1821,8777,0,0
245,14332,1399,1820,8776,0,0
250,14331,1399,1820,8776,0,0
255,14326,1399,1820,8772,0,0
260,14320,1393,1819,8772,0,0
265,14319,1393,1819,8772,0,0
270,14318,1393,1819,8772,0,0
275,14317,1393,1819,8772,0,0
280,14314,1392,1819,8771,0,0
285,14313,1392,1819,8770,0,0
290,14311,1390,1820,8769,0,0
295,14311,1390,1820,8769,0,0
300,14310,1390,1819,8768,0,0
305,14309,1390,1818,8768,0,0
310,14308,1390,1818,8767,0,0
315,14307,1390,1816,8767,0,0
320,14304,1390,1815,8766,0,0
325,14303,1390,1814,8765,0,0
330,14296,1385,1813,8765,0,0
335,14294,1385,1813,8764,0,0
340,14292,1384,1813,8762,0,0
345,14291,1384,1813,8762,0,0
350,14289,1383,1813,8761,0,0
355,14288,1383,1809,8760,0,0
360,14282,1382,1809,8760,0,0
365,14281,1382,1809,8759,0,0
370,14279,1382,1809,8757,0,0
375,14279,1382,1809,8757,0,0
380,14276,1379,1809,8757,0,0
385,14276,1379,1809,8757,0,0
390,14276,1379,1809,8757,0,0
395,14276,1379,1808,8757,0,0
400,14275,1379,1808,8757,0,0
405,14275,1379,1808,8757,0,0
410,14269,1372,1809,8757,0,0
415,14268,1372,1809,8756,0,0
420,14267,1372,1809,8755,0,0
